tamanho,conjunto,algoritmo,iteracao,tempo
40000,crescente,cycleSort,3,9.018087
40000,crescente,cycleSort,4,9.165383
40000,crescente,cycleSort,5,9.114003
40000,crescente,cycleSort,6,9.184355
40000,crescente,cycleSort,7,9.133005
40000,crescente,cycleSort,8,9.273957
40000,crescente,cycleSort,9,9.361495
40000,crescente,cycleSort,10,9.340499
40000,crescente,cycleSort,11,9.361538
40000,crescente,cycleSort,12,9.158699
40000,crescente,cycleSort,13,9.111784
40000,crescente,cycleSort,14,9.183612
40000,crescente,cycleSort,15,9.141435
40000,crescente,cycleSort,16,9.132938
40000,crescente,cycleSort,17,9.181690
40000,crescente,cycleSort,18,9.167178
40000,crescente,cycleSort,19,9.173465
40000,crescente,cycleSort,20,9.102946
40000,crescente,cycleSort,21,9.010644
40000,crescente,cycleSort,22,9.131658
40000,crescente,cycleSort,23,9.102445
40000,crescente,cycleSort,24,9.223043
40000,crescente,cycleSort,25,9.174197
40000,crescente,cycleSort,26,9.295692
40000,crescente,cycleSort,27,9.243130
40000,crescente,cycleSort,28,9.139355
40000,crescente,cycleSort,29,9.222745
40000,crescente,cycleSort,30,9.016133
40000,decrescente,heapSort,1,0.098181
40000,decrescente,heapSort,2,0.093947
40000,decrescente,heapSort,3,0.094084
40000,decrescente,heapSort,4,0.093343
40000,decrescente,heapSort,5,0.092464
40000,decrescente,heapSort,6,0.092895
40000,decrescente,heapSort,7,0.092388
40000,decrescente,heapSort,8,0.092753
40000,decrescente,heapSort,9,0.094135
40000,decrescente,heapSort,10,0.093952
40000,decrescente,heapSort,11,0.092594
40000,decrescente,heapSort,12,0.092563
40000,decrescente,heapSort,13,0.091722
40000,decrescente,heapSort,14,0.090112
40000,decrescente,heapSort,15,0.090439
40000,decrescente,heapSort,16,0.115895
40000,decrescente,heapSort,17,0.091147
40000,decrescente,heapSort,18,0.090399
40000,decrescente,heapSort,19,0.089265
40000,decrescente,heapSort,20,0.091039
40000,decrescente,heapSort,21,0.092131
40000,decrescente,heapSort,22,0.092127
40000,decrescente,heapSort,23,0.092049
40000,decrescente,heapSort,24,0.091518
40000,decrescente,heapSort,25,0.090999
40000,decrescente,heapSort,26,0.090438
40000,decrescente,heapSort,27,0.091406
40000,decrescente,heapSort,28,0.092750
40000,decrescente,heapSort,29,0.095069
40000,decrescente,heapSort,30,0.095735
40000,decrescente,cycleSort,1,22.382324
40000,decrescente,cycleSort,2,22.295501
40000,decrescente,cycleSort,3,23.269581
40000,decrescente,cycleSort,4,22.512844
40000,decrescente,cycleSort,5,22.805272
40000,decrescente,cycleSort,6,22.176443
40000,decrescente,cycleSort,7,22.711059
40000,decrescente,cycleSort,8,22.806276
40000,decrescente,cycleSort,9,22.666055
40000,decrescente,cycleSort,10,23.440277
40000,decrescente,cycleSort,11,23.203183
40000,decrescente,cycleSort,12,22.887456
40000,decrescente,cycleSort,13,22.993776
40000,decrescente,cycleSort,14,22.745373
40000,decrescente,cycleSort,15,23.279118
40000,decrescente,cycleSort,16,22.980852
40000,decrescente,cycleSort,17,22.355942
40000,decrescente,cycleSort,18,22.128238
40000,decrescente,cycleSort,19,22.214920
40000,decrescente,cycleSort,20,22.117732
40000,decrescente,cycleSort,21,21.985738
40000,decrescente,cycleSort,22,21.979471
40000,decrescente,cycleSort,23,22.023810
40000,decrescente,cycleSort,24,22.018950
40000,decrescente,cycleSort,25,22.022057
40000,decrescente,cycleSort,26,22.241698
40000,decrescente,cycleSort,27,22.106039
40000,decrescente,cycleSort,28,22.116610
40000,decrescente,cycleSort,29,22.155480
40000,decrescente,cycleSort,30,22.104496
40000,aleatorio,heapSort,1,0.097724
40000,aleatorio,heapSort,2,0.097670
40000,aleatorio,heapSort,3,0.097842
40000,aleatorio,heapSort,4,0.098119
40000,aleatorio,heapSort,5,0.097900
40000,aleatorio,heapSort,6,0.098495
40000,aleatorio,heapSort,7,0.098277
40000,aleatorio,heapSort,8,0.098071
40000,aleatorio,heapSort,9,0.098634
40000,aleatorio,heapSort,10,0.098318
40000,aleatorio,heapSort,11,0.100133
40000,aleatorio,heapSort,12,0.100278
40000,aleatorio,heapSort,13,0.098165
40000,aleatorio,heapSort,14,0.098550
40000,aleatorio,heapSort,15,0.098440
40000,aleatorio,heapSort,16,0.098201
40000,aleatorio,heapSort,17,0.098227
40000,aleatorio,heapSort,18,0.098393
40000,aleatorio,heapSort,19,0.098225
40000,aleatorio,heapSort,20,0.098803
40000,aleatorio,heapSort,21,0.098760
40000,aleatorio,heapSort,22,0.099428
40000,aleatorio,heapSort,23,0.098153
40000,aleatorio,heapSort,24,0.098225
40000,aleatorio,heapSort,25,0.099097
40000,aleatorio,heapSort,26,0.099920
40000,aleatorio,heapSort,27,0.102168
40000,aleatorio,heapSort,28,0.100107
40000,aleatorio,heapSort,29,0.100069
40000,aleatorio,heapSort,30,0.099952
40000,aleatorio,cycleSort,1,48.760258
40000,aleatorio,cycleSort,2,50.293740
40000,aleatorio,cycleSort,3,49.123967
40000,aleatorio,cycleSort,4,50.947190
40000,aleatorio,cycleSort,5,50.422608
40000,aleatorio,cycleSort,6,50.696268
40000,aleatorio,cycleSort,7,51.424341
